epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,551.933,0.35034,0.2823,0.84785,0.89485,0.92353,0.91752,0.68774,0.42335,0.32454,0.74475,0.000464188,0.000464188,0.000464188
129,556.091,0.35862,0.27557,0.84842,0.86007,0.9277,0.92373,0.67915,0.42887,0.32494,0.74934,0.000458,0.000458,0.000458
130,560.706,0.35276,0.27849,0.84347,0.9075,0.89826,0.9272,0.68584,0.43693,0.33859,0.74671,0.000451813,0.000451813,0.000451813
131,564.99,0.35402,0.27279,0.85057,0.89801,0.909,0.9321,0.68672,0.4275,0.30736,0.75172,0.000445625,0.000445625,0.000445625
132,569.213,0.33602,0.25556,0.84925,0.85752,0.95424,0.92482,0.67826,0.44025,0.31595,0.75671,0.000439437,0.000439437,0.000439437
133,573.473,0.3396,0.26667,0.84263,0.87693,0.93873,0.94592,0.67977,0.44018,0.32326,0.75359,0.00043325,0.00043325,0.00043325
134,577.669,0.34582,0.26528,0.84569,0.88322,0.96372,0.94458,0.68328,0.43506,0.32131,0.74714,0.000427062,0.000427062,0.000427062
135,581.867,0.33609,0.2662,0.84823,0.90173,0.90094,0.92155,0.68623,0.42459,0.32637,0.74075,0.000420875,0.000420875,0.000420875
136,586.148,0.33974,0.26302,0.83816,0.88392,0.89561,0.91802,0.68354,0.42685,0.38276,0.74224,0.000414688,0.000414688,0.000414688
137,590.348,0.34323,0.27377,0.85708,0.85751,0.94479,0.91418,0.66849,0.42094,0.35536,0.73882,0.0004085,0.0004085,0.0004085
138,594.661,0.34813,0.27089,0.84407,0.87671,0.93712,0.92805,0.68646,0.41665,0.32082,0.74316,0.000402312,0.000402312,0.000402312
139,598.981,0.35096,0.27406,0.85174,0.89477,0.92287,0.93966,0.71667,0.41842,0.30149,0.74339,0.000396125,0.000396125,0.000396125
140,603.391,0.35713,0.27235,0.84666,0.9504,0.91135,0.9532,0.69539,0.42211,0.33304,0.74328,0.000389938,0.000389938,0.000389938
141,607.66,0.34565,0.25563,0.84636,0.92645,0.92112,0.95058,0.69392,0.43107,0.32492,0.747,0.00038375,0.00038375,0.00038375
142,611.932,0.34791,0.26322,0.84548,0.9248,0.94776,0.94925,0.69394,0.41925,0.31373,0.74352,0.000377563,0.000377563,0.000377563
143,616.344,0.34459,0.26455,0.84823,0.9033,0.94183,0.93522,0.70067,0.42033,0.33841,0.73936,0.000371375,0.000371375,0.000371375
144,620.934,0.3432,0.27362,0.84583,0.90096,0.90989,0.9272,0.70033,0.42619,0.33138,0.74823,0.000365188,0.000365188,0.000365188
145,625.188,0.32712,0.2575,0.84323,0.90488,0.92724,0.93705,0.70789,0.41737,0.32802,0.74317,0.000359,0.000359,0.000359
146,629.496,0.34653,0.26426,0.84923,0.90187,0.89656,0.93169,0.67515,0.44176,0.37121,0.74555,0.000352812,0.000352812,0.000352812
147,633.817,0.34357,0.26079,0.8455,0.88765,0.9162,0.94273,0.6732,0.44337,0.38212,0.74632,0.000346625,0.000346625,0.000346625
148,638.039,0.33796,0.26019,0.84312,0.90878,0.91404,0.94567,0.69491,0.42656,0.34876,0.74248,0.000340438,0.000340438,0.000340438
149,642.344,0.34222,0.25572,0.84651,0.91409,0.94589,0.94343,0.69031,0.42569,0.32999,0.74752,0.00033425,0.00033425,0.00033425
150,646.472,0.34322,0.26002,0.85005,0.89088,0.94687,0.94257,0.69849,0.41788,0.32307,0.74175,0.000328063,0.000328063,0.000328063
151,650.822,0.34048,0.26024,0.84303,0.88251,0.93839,0.93599,0.67733,0.42971,0.33779,0.74765,0.000321875,0.000321875,0.000321875
152,655.269,0.3482,0.26125,0.8478,0.88811,0.92539,0.93106,0.69598,0.43328,0.33459,0.75196,0.000315687,0.000315687,0.000315687
153,659.504,0.33682,0.25833,0.84676,0.90058,0.92576,0.93343,0.70569,0.41893,0.33436,0.74843,0.0003095,0.0003095,0.0003095
154,663.558,0.32969,0.24708,0.84285,0.89039,0.94789,0.9358,0.70161,0.41695,0.32927,0.74479,0.000303313,0.000303313,0.000303313
155,667.861,0.33049,0.25964,0.838,0.89566,0.96668,0.94401,0.68609,0.42503,0.30697,0.74925,0.000297125,0.000297125,0.000297125
156,672.246,0.34795,0.25733,0.84315,0.8991,0.94435,0.93914,0.68774,0.43082,0.33075,0.74719,0.000290937,0.000290937,0.000290937
